Mandi,Traders,Coupons,Type
"Nanda Rice mill, Dasuha",1,116,Sheller/ Others
Nandachor,2,338,Purchase Centre
Nandgarh kotra,5,337,Purchase Centre
Nandpur Kalor,8,421,Sub Yard
Nangal,32,1995,Purchase Centre
Nangal,32,1995,Purchase Centre
Nangal,32,1995,Purchase Centre
Nangal Bhur,6,548,Purchase Centre
Nangal kalan,13,741,Purchase Centre
Nangla,10,552,Purchase Centre
Nanglan,7,593,Purchase Centre
Nanhera,9,625,Purchase Centre
Nanowal,14,1064,Sub Yard
Nanowal,14,1064,Purchase Centre
Nar singh Rice mill,1,162,Sheller/ Others
NarBahart Trading company,2,138,Sheller/ Others
Naraingarh,5,490,Purchase Centre
Narangpur,8,986,Purchase Centre
Narayan Rice Burj Sema,1,72,Sheller/ Others
Narayanpura,12,890,Purchase Centre
Narike,12,505,Purchase Centre
Narout Jaimal Singh,12,1014,Main Yard
Narsingh Rice Mills Bhucho,5,138,Sheller/ Others
Narth agro trading company,1,5,Sheller/ Others
Naruana,5,401,Purchase Centre
Nasarke Sarchur,4,680,Sub Yard
Naseera Khalchiya,6,255,Purchase Centre
Nasibpura,7,806,Purchase Centre
Nasrala,4,296,Purchase Centre
Nath Rice Mill,2,69,Sheller/ Others
Nathana,11,1659,Main Yard
Nathana,11,1659,Main Yard
Natheha,6,534,Purchase Centre
Nathowal,8,641,Sub Yard
Nathpura,6,668,Purchase Centre
Nathupur,8,824,Sub Yard
Nathuwala,14,556,Sub Yard
Nav Durga Agro mills,1,67,Sheller/ Others
Nav Durga Rice Mill,1,53,Sheller/ Others
Nav Durga food and feed,1,87,Sheller/ Others
Navdurga Rice Mill,2,96,Sheller/ Others
"Navi Anaj Mandi, Paiala",118,2812,Main Yard
Navkar Rice mill,5,25,Sheller/ Others
Navraj agro mill,3,82,Sheller/ Others
Nawasehar,71,2944,Main Yard
Neel kanth Rice mill,1,15,Sheller/ Others
NeelKanth Rice Mills,4,47,Sheller/ Others
Neelkanth Rice Mills Goniana,1,125,Sheller/ Others
"Neeraj Rice mills, Chananwal",1,60,Sheller/ Others
Nehia wala,11,995,Purchase Centre
Nena Devi Agro mills,1,62,Sheller/ Others
New Agarwal rice mills,3,156,Sheller/ Others
New Arora Agro Industries,2,203,Sheller/ Others
New Hargobind Rice mill,1,15,Sheller/ Others
New Kotia Rice mill,1,65,Sheller/ Others
New Macha Rice Mill,2,305,Sheller/ Others
New Malwa Rice Mill,2,87,Sheller/ Others
New Malwa Rice Mill,2,87,Sheller/ Others
New Sangam rice mill,1,68,Sheller/ Others
New tack agro pvt. Ltd,2,145,Sheller/ Others
Neyur,6,344,Purchase Centre
Nihal Khera,11,789,Purchase Centre
Nihal Singh Wala,75,2423,Main Yard
Nikhil Rice Mill,1,79,Sheller/ Others
Nilowal,7,325,Purchase Centre
Nogaja,14,647,Purchase Centre
Nogaja,14,647,Sheller/ Others
Noonan,6,563,Purchase Centre
Noormehal,64,1229,Main Yard
Noorpur,13,419,Purchase Centre
Noorpur setha,11,549,Purchase Centre
Norata Rice Mill,2,161,Sheller/ Others
Norata agro foods,3,153,Sheller/ Others
Nosehra,7,456,Purchase Centre
Nosehra Majja Singh,10,1387,Purchase Centre
Nosehra Panua,48,1936,Main Yard
Nul,25,600,Purchase Centre
Nurpur Bedi,9,653,Purchase Centre
Nurpur bet,5,717,Purchase Centre
Nurpur kirpal ke,13,592,Purchase Centre
O.P Rice Mill,1,41,Sheller/ Others
Ohri Rice mill Mukerian,2,113,Sheller/ Others
Om Agro Ind.,3,275,Sheller/ Others
Om Agro Ind.,3,275,Sheller/ Others
Om Rice Mill,2,194,Sheller/ Others
Om Rice Mill,2,194,Sheller/ Others
Om Rice Mill,2,194,Sheller/ Others
Om Rice Mill,2,194,Sheller/ Others
Om Rice Mill 1,1,105,Sheller/ Others
Om Rice Mill 2,5,134,Sheller/ Others
"Om Rice Mills , Pakho kalan",4,299,Sheller/ Others
Om Rice Mills Rampura,1,141,Sheller/ Others
Om Sayi Rice Mill,1,25,Sheller/ Others
Om Shanti Rice Mills Bhagta,2,80,Sheller/ Others
Om bapu rice and janral mills,1,76,Sheller/ Others
Omkar Rice Mill,1,99,Sheller/ Others
Omkar Rice Mills,2,122,Sheller/ Others
Ompati rice mills,3,33,Sheller/ Others
Onkar Rice Mill,3,124,Sheller/ Others
P K Rice mill,1,91,Sheller/ Others
P.C. Rice Mill,2,118,Sheller/ Others
P.K. Gram udyog Samty,2,93,Sheller/ Others
P.L Mittal Rice mill,3,83,Sheller/ Others
P.R Rice Mills,1,55,Sheller/ Others
Pabri,5,433,Purchase Centre
Padam Rice Mill,1,56,Sheller/ Others
Paden,9,881,Purchase Centre
Padhri Kalan,7,469,Purchase Centre
Paheri,6,445,Purchase Centre
Pahluwala,9,641,Purchase Centre
Pakharpur,30,1685,Sub Yard
Pakhokalan,18,1097,Purchase Centre
Pakhoke,5,466,Purchase Centre
Pakhowal,8,540,Purchase Centre
Pakka Chisti,9,278,Purchase Centre
Pakka Kalan,9,539,Purchase Centre
Pakka Kalewala,11,665,Purchase Centre
Pakka Khurd,3,496,Purchase Centre
Paliyan kalan,11,546,Purchase Centre
Panam,4,403,Purchase Centre
Pancham Rice Mill,2,120,Sheller/ Others
Pander,7,576,Purchase Centre
Pandori (F.P.),8,650,Purchase Centre
Pandori Khatriyan,5,295,Purchase Centre
Pandori Mayiel,3,404,Purchase Centre
Paniar,7,575,Purchase Centre
Panj Gurayian,22,922,Purchase Centre
Panjava,10,481,Purchase Centre
Panjdher Kalan,10,711,Purchase Centre
Panjeke tur,34,2120,Main Yard
Panjgraikalan,17,855,Sub Yard
Panjgraiyan,4,742,Sub Yard
Panjkosi,17,876,Purchase Centre
Panjola,12,339,Purchase Centre
Panjora,4,277,Purchase Centre
Paramjitpur,14,942,Purchase Centre
Paras Rice Mill,3,192,Sheller/ Others
Parav traders,2,65,Sheller/ Others
Parbhat Singh Wala,8,591,Purchase Centre
Pardeep Rice Mills 2  Bhucho,1,25,Sheller/ Others
Pardeep Rice Mills Bhucho,1,25,Sheller/ Others
Parhotam Lal Rice mills,2,130,Sheller/ Others
Parjiyan Kalan,21,802,Purchase Centre
Parkar Rice Mill,1,51,Sheller/ Others
Parkash Chand Krori mal,3,112,Sheller/ Others
Parkash Rice Mills,1,10,Sheller/ Others
"Parkash rice mills, Butar Bakhua",2,173,Sheller/ Others
Parmod Rice Mills,1,78,Sheller/ Others
Pars food and rice mill,1,210,Sheller/ Others
Pasi ram and janral mill,2,49,Sheller/ Others
Pasla,6,291,Purchase Centre
Pasta,10,837,Purchase Centre
Patara,17,769,Sub Yard
Pathlava,4,628,Purchase Centre
Patho,10,512,Purchase Centre
Pathrala,12,1312,Purchase Centre
Pati Bhariyan,5,365,Purchase Centre
Patran,158,2394,Main Yard
Patran Rice Mill,3,79,Sheller/ Others
Patrewala,9,962,Purchase Centre
Patti,113,3183,Main Yard
Patti Multani,12,482,Purchase Centre
Pawan Rice Mill,2,120,Sheller/ Others
Peer Mohamad,12,487,Purchase Centre
PeerJain,13,237,Purchase Centre
Phulewala,9,496,Purchase Centre
Pile,25,1512,Sub Yard
Pind Chakkala Singh Wala,1,20,Purchase Centre
Pind Chinu,3,431,Purchase Centre
Pind Dhilwan,5,235,Purchase Centre
Pind Gumjal,9,1013,Purchase Centre
Pind Inna Khera,11,272,Purchase Centre
Pind Inna Khera,11,272,Sheller/ Others
Pind Jangiana,4,394,Purchase Centre
Pind Kohariawali,4,574,Purchase Centre
Pind Mattar Hithar,6,165,Purchase Centre
Pind Sadihari,11,225,Purchase Centre
Pind Urang,21,362,Purchase Centre
Pind kotbhrar,7,290,Purchase Centre
"Pirthipal Singh Rice and General mills, Baja marar road, Bariwala",2,81,Sheller/ Others
Pitambra Rice Mills,7,174,Sheller/ Others
Piyori,11,609,Purchase Centre
Poohla,14,591,Purchase Centre
Pooja Rice Mill (Ganes Board rice udyog samti),2,119,Sheller/ Others
Pooja foods,1,119,Sheller/ Others
Poonia,16,952,Purchase Centre
Pratabpura,15,720,Sub Yard
Pratappura,22,1127,Sub Yard
Preet Rice Mill,1,5,Sheller/ Others
"Preet Rice Mills, GuruHarsahai road, Pind Kotli Devan  Shri Mukatsar Sahib",1,106,Sheller/ Others
"Preet Rice mill, Meerpur",2,113,Sheller/ Others
Prem singh rice Traders,2,157,Sheller/ Others
Pritam Rice mill,4,199,Sheller/ Others
Pubian,6,525,Sub Yard
Puneet Rice mills,1,79,Sheller/ Others
Pungrane,7,35,Sheller/ Others
Punjab Rice Mills,1,74,Sheller/ Others
Punjab Rice Mills,1,74,Sheller/ Others
"Punjab Rice and General mills, Abohar road, Malout",9,112,Sheller/ Others
Punjab Rice mill,6,155,Sheller/ Others
Punjab Rice mills,1,90,Sheller/ Others
Punjab State warehouse,7,35,Sheller/ Others
Punjab rice and Gen. mill,2,85,Sheller/ Others
Punjab rice and janral mill,4,193,Sheller/ Others
Punjab rice udyog samti,2,109,Sheller/ Others
Punsup,7,35,Sheller/ Others
Punwal,9,452,Purchase Centre
Pur,4,288,Purchase Centre
Puran Chand and Company,2,52,Sheller/ Others
R D L Gardens (Palace),1,49,Sheller/ Others
R F Oversis,3,129,Sheller/ Others
R K Agro,3,161,Sheller/ Others
"R K Vishal rice and General mills, Bariwala",2,70,Sheller/ Others
R. D. rice gram udyog samiti,2,175,Sheller/ Others
R. S Agro,1,152,Sheller/ Others
R.K Agro Ind.,1,75,Sheller/ Others
R.K Ind.,2,72,Sheller/ Others
R.K. rice Shahkot,2,74,Sheller/ Others
"R.K. rice and general mill, Banur",4,205,Sheller/ Others
R.K. rice and janral mills,1,138,Sheller/ Others
R.L. Industry,2,177,Sheller/ Others
R.M. rice and janral mill Kapurthala,1,93,Sheller/ Others
R.P. Rice Mill,1,181,Sheller/ Others
Radha Food products,4,165,Sheller/ Others
Radha Food products,4,165,Sheller/ Others
"Radha Gobind Rice mill, Bhotna",1,115,Sheller/ Others
Radha Krishan rice mill,4,40,Sheller/ Others
Radha Krishna Rice Mills,1,114,Sheller/ Others
"Radha Rice mill, dipali",1,87,Sheller/ Others
Radha trader,1,121,Sheller/ Others
Radhe Krishna rice killer Dhurkot,2,158,Sheller/ Others
"Radhe Krishna rice mills, Dhola",1,70,Sheller/ Others
Radhe Radhe Rice Mill,1,75,Sheller/ Others
Radhe Rice Mill,5,75,Sheller/ Others
Radhe Sham and sons,1,83,Sheller/ Others
Raghbir Industries,1,65,Sheller/ Others
Rahmat Rice Mill,2,156,Sheller/ Others
Raho,16,884,Sub Yard
Rahon mandi part A,28,1663,Sheller/ Others
Rahon mandi part B,45,2693,Sheller/ Others
Rahul Rice Mill,1,60,Sheller/ Others
Raidhrana,15,1117,Purchase Centre
Raike Kalan,14,725,Purchase Centre
Raikhana,11,411,Purchase Centre
Raikot,70,2651,Main Yard
Raikot Rice Mill,1,49,Sheller/ Others
Raipur,25,1786,Sub Yard
Raipur,25,1786,Purchase Centre
Raipur Majri,7,556,Purchase Centre
Raipur Rajputs,2,254,Sub Yard
Raisar,13,522,Purchase Centre
Raj Rajeshwari agro ind.,2,91,Sheller/ Others
Raj Rice Mill,2,79,Sheller/ Others
"Raj Rice mills, tajoke rode, tapa",3,100,Sheller/ Others
Raja Tal,3,332,Purchase Centre
Raja food,2,231,Sheller/ Others
Raja ram Rice mills,2,206,Sheller/ Others
Rajasansi,31,1591,Sub Yard
"Rajdev Agro, Jalalabad road,  Shri Mukatsar Sahib",1,66,Sheller/ Others
Rajdhani agro food,1,158,Sheller/ Others
Rajesh Rice Mill,1,10,Sheller/ Others
Rajgarh Kube,13,690,Sub Yard
Rajia Rice mill,9,78,Sheller/ Others
"Rajindra Rice and General Mill, Jalalabad road,  Shri Mukatsar Sahib",3,80,Sheller/ Others
Rajindra Rice mill unit 1,4,95,Sheller/ Others
Rajindra Rice mill unit 2,3,93,Sheller/ Others
Rajindra rice Mill,2,130,Sheller/ Others
Rajoke,29,723,Sub Yard
Rajomajra,12,512,Purchase Centre
Rajpur Bhaiyan,4,443,Purchase Centre
Rajpura,200,6295,Main Yard
Raju Rice Mill,1,94,Sheller/ Others
Raju Rice Mill,1,94,Sheller/ Others
Rajya,11,496,Purchase Centre
Rakba,56,2998,Main Yard
Rala ram harbans lal,3,232,Sheller/ Others
Ralla,18,1386,Purchase Centre
Ralli,14,821,Purchase Centre
Rallo,6,313,Purchase Centre
Ram Lakshman industries,1,110,Sheller/ Others
"Ram Lal Dhir and Sons, Sultanpur Lodhi",2,227,Sheller/ Others
Ram Nath Krishan kumar,2,90,Sheller/ Others
Ram lal Arjun Narang Mukerian,1,192,Sheller/ Others
"Ram lal Vijay kumar and sons, Mukerian",1,113,Sheller/ Others
Rama,75,1564,Main Yard
Rama Krishna Rice Mill,8,548,Sheller/ Others
Rama Krishna Rice Mill,8,548,Sheller/ Others
Rama Krishna Rice Mill,8,548,Sheller/ Others
Rama Krishna Rice Mill,8,548,Sheller/ Others
Rama Rice Mill,2,117,Sheller/ Others
Rama Rice mill,1,186,Sheller/ Others
Rama rice Trading company,2,13,Sheller/ Others
Raman,8,471,Purchase Centre
Rameana,12,437,Purchase Centre
Ramgarh,26,1795,Sub Yard
Ramgarh,26,1795,Purchase Centre
Ramgarh,26,1795,Purchase Centre
Ramgarh,26,1795,Purchase Centre
Ramgarh Sandhuan,8,352,Purchase Centre
Ramgarh Sardara,8,311,Purchase Centre
Ramgarh/ Dariyapur,11,381,Purchase Centre
Ramidi,3,558,Purchase Centre
Ramkot,19,1128,Purchase Centre
Ramnagar,11,1025,Purchase Centre
Ramnagar,11,1025,Purchase Centre
Ramnagar Bhathal,6,726,Purchase Centre
Ramnvas,7,553,Purchase Centre
Rampura,49,1876,Sub Yard
Rampura,49,1876,Purchase Centre
Rampura Jawaharwala,5,347,Purchase Centre
Rampurphool,70,3847,Main Yard
Ramuwala,18,565,Purchase Centre
Rana,13,519,Purchase Centre
"Ranbir rice Mills, Kabarwala road,  Shri Mukatsar Sahib",2,156,Sheller/ Others
Randhawa Rice mill,2,110,Sheller/ Others
RangarNangal,20,1612,Purchase Centre
Rangheri Kalan,7,255,Purchase Centre
Ranghriyal,5,472,Purchase Centre
Rangian,9,592,Purchase Centre
Ranian,11,555,Purchase Centre
Ranipur,10,410,Purchase Centre
Ranjitgarh,12,597,Purchase Centre
Ranwa,12,562,Purchase Centre
Raoke Hithar,14,490,Purchase Centre
Raoke kalan,12,927,Purchase Centre
Raowal,8,467,Purchase Centre
Rar,4,340,Purchase Centre
Rasmani Rice mill,2,15,Sheller/ Others
Rasulpur,15,540,Purchase Centre
Rasulpur (F.P.),7,581,Purchase Centre
Rasulpur Jandi,6,400,Purchase Centre
"Ratan Rice Mills, Kabarwala road,  Shri Mukatsar Sahib",3,109,Sheller/ Others
Ratanheri,5,396,Purchase Centre
Ratoke,35,439,Purchase Centre
Ratta Guda,6,264,Purchase Centre
Ratta Kheda Gulab Singh,4,355,Purchase Centre
Ratta Kheda Punjab Singh,6,210,Purchase Centre
Ratta Khera,18,1003,Purchase Centre
Ratta Khera,18,1003,Purchase Centre
Ratti Rodi,10,645,Purchase Centre
Rauli,13,455,Purchase Centre
Ravalpindi,12,601,Purchase Centre
Ravan,4,423,Purchase Centre
"Ravindra Rice mills, Aalike rode, tapa",3,106,Sheller/ Others
Ravindra rice and janral mill,1,152,Sheller/ Others
Rayian,94,6846,Purchase Centre
Rayian,94,6846,Purchase Centre
Rayian,94,6846,Main Yard
Rekhi Rice Mill,1,5,Sheller/ Others
Rekhi rice and janral mills,1,47,Sheller/ Others
Renbo Public School,1,5,Sheller/ Others
Rice gram udyog samti,7,125,Sheller/ Others
Ridhi Rice Mill,2,115,Sheller/ Others
Rihanajattan,14,976,Purchase Centre
Riodkalan,6,281,Purchase Centre
Rishi Rice Mills Shahkot,1,72,Sheller/ Others
Roadmajra,4,343,Purchase Centre
Roda Ram Pyara Lal,2,10,Sheller/ Others
Rode,15,495,Purchase Centre
Rode Jallewala,16,337,Purchase Centre
Rodewala,18,449,Purchase Centre
Rodi Kapura,8,413,Purchase Centre
"Rodki Rice Mill, Sardulgarh",3,157,Sheller/ Others
Rogla,5,335,Purchase Centre
Romana Ajit Singh,5,459,Purchase Centre
Roni,16,817,Sub Yard
Rooh khoo Rice mills,1,192,Sheller/ Others
Roomi,7,373,Purchase Centre
Roop Rice Mill,3,166,Sheller/ Others
Roopnagar,37,2829,Main Yard
Roshanwala,7,718,Purchase Centre
Rota,20,1405,Sub Yard
"Royal Punjab rice mills, Pind Deyun Khera",3,40,Sheller/ Others
Royal rice and janral mill,1,67,Sheller/ Others
Rudeke,13,685,Purchase Centre
Rudeke khurd,3,249,Purchase Centre
Rudiana,5,270,Sub Yard
Rukanpura Khuyi Khera,26,1243,Purchase Centre
Ruknabegu,7,380,Purchase Centre
Ruknewala,24,810,Purchase Centre
Rulda Singh Wala,5,287,Purchase Centre
Rupewal,5,265,Sub Yard
Rurgarh,7,348,Purchase Centre
Rurka kalan,18,475,Purchase Centre
Rurkan,8,479,Purchase Centre
"S J rice and General mills, Sarayenaga road, Hairke kalan",1,91,Sheller/ Others
S K traiding company,1,162,Sheller/ Others
"S Kumar Rice mill, Raman",3,143,Sheller/ Others
"S L rice Mills, Vara Kishanpura road Surewala",3,163,Sheller/ Others
"S M traders, Husnar",2,40,Sheller/ Others
"S P Rice and General Mills, Mayi Bhago road, Pind Inna Khera",7,100,Sheller/ Others
S R Agro,1,126,Sheller/ Others
S.A agro Industry,2,78,Sheller/ Others
S.B Rice Mill,2,170,Sheller/ Others
S.B Rice Mill,2,170,Sheller/ Others
S.D. Rice Mill,2,117,Sheller/ Others
S.K trading company,1,77,Sheller/ Others
S.K. Rice Mill,3,76,Sheller/ Others
S.K. food products,2,145,Sheller/ Others
S.K.Traders,4,92,Sheller/ Others
S.L. Agro Foods,1,121,Sheller/ Others
S.P. Rice Mill,1,28,Sheller/ Others
S.P. rice,4,158,Sheller/ Others
S.R Rice Mill,2,91,Sheller/ Others
S.R.B. Agro Foods Goniana,1,80,Sheller/ Others
S.R.P.S. Rice Mill,2,82,Sheller/ Others
S.S Rice Mill,1,131,Sheller/ Others
S.k.Agro Indus.,1,83,Sheller/ Others
Sabajpur,15,1051,Purchase Centre
SabajpurChhina,4,343,Purchase Centre
Sabhra,32,1309,Purchase Centre
Sabuana Hanwanta,16,919,Purchase Centre
Sachdeva Rice mill,1,45,Sheller/ Others
"Sada Shiv rice mills, Kotbhai",1,109,Sheller/ Others
Sadana,10,494,Purchase Centre
"Sadha Shiv Rice mill, Barnala",1,70,Sheller/ Others
Sadhawala,7,632,Purchase Centre
Sadke,58,2143,Main Yard
Sadopur,16,426,Purchase Centre
Sadu Sah wala,9,402,Purchase Centre
Safdarpur,10,323,Purchase Centre
Sagar Rice mills 2,1,175,Sheller/ Others
Sagmaheswar Rice Mills,1,20,Sheller/ Others
Sah Abukar,1,35,Purchase Centre
Sah Rice mill,2,164,Sheller/ Others
Sahara Rice mill Dhipali,1,76,Sheller/ Others
Sahib Chand,10,651,Purchase Centre
Sahiba,9,789,Purchase Centre
Sahkot,59,1495,Main Yard
Sahlapurana,4,332,Purchase Centre
Sahnewal,40,1901,Main Yard
Sahni Rice Mill,1,187,Sheller/ Others
Sahoke,8,428,Purchase Centre
Sahowal,3,314,Purchase Centre
Sahpur Guraya,9,529,Purchase Centre
Sahpur Jajan,6,352,Sub Yard
Sahpur kalan,7,635,Purchase Centre
Sai Rice Mill,2,141,Sheller/ Others
Sajan trading company,1,5,Sheller/ Others
Sakoor,16,527,Purchase Centre
Saleena,2,308,Purchase Centre
Salemltabarli,26,1658,Main Yard
Salempur,6,323,Purchase Centre
Sam Chorasi,6,552,Purchase Centre
Samana,148,4582,Main Yard
Samaspur,6,456,Sub Yard
Sambhukalan,2,231,Purchase Centre
Samewali,22,1377,Purchase Centre
Samgoli,10,631,Purchase Centre
Samrai,11,408,Purchase Centre
Samrala,49,2899,Main Yard
Samudra,5,379,Purchase Centre
Samuran,3,144,Purchase Centre
Sanaour,39,2294,Sub Yard
Sandaudh,21,1647,Main Yard
Sande Hasam,14,402,Sub Yard
Sandeep Rice Mills,5,80,Sheller/ Others
Sandhu Rice Mill,2,124,Sheller/ Others
Sandhu Trading company,1,5,Sheller/ Others
Sandhu Trading company,1,5,Sheller/ Others
Sandhu kalan,7,464,Purchase Centre
Sandoha,14,459,Purchase Centre
SanduKhurd,5,455,Purchase Centre
"Sangam Rice mills, Mehlkalan",5,137,Sheller/ Others
Sangat,36,1711,Main Yard
Sangatpura,30,2097,Purchase Centre
Sangatpura,30,2097,Purchase Centre
Sangatpura,30,2097,Purchase Centre
Sangatwala,3,358,Purchase Centre
Sangha,12,524,Purchase Centre
Sanghol,28,1715,Sub Yard
Sanghu Romana,7,525,Purchase Centre
Sangowal,8,448,Sub Yard
Sangram Rice mills,1,152,Sheller/ Others
Sangrur,190,3778,Main Yard
Sangudhaun,10,371,Purchase Centre
Sankar,20,771,Purchase Centre
Sankawali,11,793,Purchase Centre
Sano agro pvt. Ltd.,1,43,Sheller/ Others
Sanour Road Mandi,31,1869,Sub Yard
Sant Atar Singh Rice Mill,3,140,Sheller/ Others
Sant Kabir Rice Mill,3,101,Sheller/ Others
Sant foods,1,62,Sheller/ Others
Santuwala,7,243,Purchase Centre
Saprheri,1,164,Purchase Centre
Sarabha,16,640,Purchase Centre
Sarai Amanat Khan,15,744,Sub Yard
Sarai khas,5,231,Sub Yard
Sarali Manda,9,290,Purchase Centre
Sarangaran,8,621,Purchase Centre
Saraswati Rice Mills Rama,1,136,Sheller/ Others
Sarawa,11,787,Sub Yard
"Sarayenaga road Near Shankar rice mills, Harike Kalan Firm Gurbachan Singh Bal Mukand",1,56,Sheller/ Others
"Sarayenaga road, Harike Kalan, Near Bharti Petrol Pump M/s Gulshan Kumar and comp.",1,56,Sheller/ Others
"Sarayenaga road, Harike kalan M/s Tulsi Ram Birbal Das",1,54,Sheller/ Others
Sarayenaga to Marirkalan road near satguru rice mills firm M/s Jaswant Rai Ashok,1,56,Sheller/ Others
Sarbarpur,4,220,Purchase Centre
Sardar Rice Mill,2,30,Sheller/ Others
Sardar Rice Mills,2,112,Sheller/ Others
Sardar Rice mill,1,97,Sheller/ Others
Sardargarh,12,534,Purchase Centre
Sardha Rice Mill,1,84,Sheller/ Others
Sardulgarh,120,5383,Main Yard
Sareeh,15,898,Sub Yard
Sareeh wala,16,547,Purchase Centre
Sarhala Kalan,11,480,Purchase Centre
Sarhali,24,894,Purchase Centre
Sarhali Kalan,14,923,Purchase Centre
Sarma Rice Mill,2,136,Sheller/ Others
Sarna,15,1320,Purchase Centre
Saroa,5,282,Purchase Centre
Sarod,5,226,Purchase Centre
Saroopwali,14,346,Purchase Centre
Sarpanch Rice Mills,2,74,Sheller/ Others
Sarpanch rice and janral,2,124,Sheller/ Others
"Sarswati Rice Mills, Butar Bakhua",3,110,Sheller/ Others
Sarswati Rice and General Mill,2,272,Sheller/ Others
Sarswati Rice mill,5,412,Sheller/ Others
Sarswati Rice mill,5,412,Sheller/ Others
Sarswati rice mill (Radhe Rice Mill),1,85,Sheller/ Others
Sarup Chand Rice Mill,1,215,Sheller/ Others
Sarup Rice Mill,1,60,Sheller/ Others
"Sarwan Rice mill, Ladhupur",3,79,Sheller/ Others
"Satabadi rice and general mills, Malwala road, Jandwala Malout",15,124,Sheller/ Others
"Satgur rice Mills, Malwala road, Jandwalal, Malout",13,123,Sheller/ Others
Satguru Rice Mills Jodhpur,1,84,Sheller/ Others
"Satguru rice Mill, Sarayenaga road, Marar Kalan",3,95,Sheller/ Others
Satguru rice and genral mills,2,146,Sheller/ Others
Sathiala,19,1053,Purchase Centre
"Satia Rice mill, Gobindpura",3,357,Sheller/ Others
Satiyam Industry,5,176,Sheller/ Others
Satkar Rice Mill,3,137,Sheller/ Others
Satkar Rice Mill,3,137,Sheller/ Others
Satkartar rice and janral mills,1,42,Sheller/ Others
Satluj Rice mills,1,138,Sheller/ Others
"Satluj rice and genral mills, Guruharsahaye rode, village Kotly devan, Shri Mukatsar Sahib",2,167,Sheller/ Others
Satluj rice and jin mills Shahkot,2,79,Sheller/ Others
Satnam  rice and janral mills,2,139,Sheller/ Others
Satnam Rice mill,1,85,Sheller/ Others
Satnam Rice mill,1,85,Sheller/ Others
Satoj,8,588,Purchase Centre
Satrana,24,1653,Sub Yard
Satya Rice Mills,1,93,Sheller/ Others
Satya foods,2,66,Sheller/ Others
Satyam Agro Ind.,4,207,Sheller/ Others
Satyam Agro Ind.,4,207,Sheller/ Others
Satyam Agro and Alied Industries,1,73,Sheller/ Others
Satyam rice and janral mill,1,94,Sheller/ Others
Savaudi,22,1397,Sub Yard
Saviyan,11,514,Purchase Centre
Savtantar rice and janral mills,3,121,Sheller/ Others
Sayadwala,8,600,Purchase Centre
Sede ke Ruhela,8,205,Purchase Centre
Sedewala,8,539,Purchase Centre
Sedoke,14,1178,Purchase Centre
Seehapadi,7,489,Purchase Centre
Seekri,3,409,Purchase Centre
Seel,3,370,Purchase Centre
Seer wali,18,512,Purchase Centre
Sego,13,721,Sub Yard
Sehbajpur,3,317,Purchase Centre
Sehjada,26,1568,Sub Yard
Sehjadi,9,484,Purchase Centre
Sehjeda,9,385,Purchase Centre
Sehna,28,1725,Sub Yard
Sekhakalan,22,932,Purchase Centre
Sekhon rice Industry,4,99,Sheller/ Others
Sekhu,9,841,Purchase Centre
Sekhuwas,5,472,Purchase Centre
Sella Khurd,41,1740,Sheller/ Others
Selwala,18,577,Purchase Centre
Selwrah,14,862,Purchase Centre
Sema,11,572,Purchase Centre
Senchury Rice mills Rampura,2,80,Sheller/ Others
Seniyan,13,335,Purchase Centre
Ser Majra,10,481,Purchase Centre
Sergarh,4,414,Purchase Centre
Serkha Wala,12,954,Purchase Centre
Sero,45,1775,Purchase Centre
Sero,45,1775,Purchase Centre
Serpur,21,1196,Main Yard
Serpur Bet,5,735,Purchase Centre
Serpur Toiba,5,891,Purchase Centre
Seth Parkash rice mill,1,68,Sheller/ Others
"Seth Ramji Das rice mills, Butar Bakhua",1,128,Sheller/ Others
Sethi Rice mill,2,106,Sheller/ Others
Sewak Rice Mills Lohia,5,182,Sheller/ Others
Sh. Karam Singh Chahal Rice Mills,1,76,Sheller/ Others
Shagun Rice Mills Goniana,2,122,Sheller/ Others
Shah ji rice,1,45,Sheller/ Others
Shahkot rice and janral mills,2,158,Sheller/ Others
Shakti Industry,3,178,Sheller/ Others
Shakti rice and General mill,2,65,Sheller/ Others
Shakti rice and janral mill,2,128,Sheller/ Others
"Shakti rice mills, motle wala road, Bariwala",2,114,Sheller/ Others
ShaktiRice mill,1,112,Sheller/ Others
"ShaktiRice mills, Bhador",1,103,Sheller/ Others
"ShaktiRice mills, Bihla",2,154,Sheller/ Others
Sham Rice Mill,5,120,Sheller/ Others
Sham Sundar Rice Mill,4,75,Sheller/ Others
Sham lal and Brothers,4,200,Sheller/ Others
"Shamsher Rice mill, Rampura",3,106,Sheller/ Others
Shankar Rice Mill,6,445,Sheller/ Others
Shankar Rice Mill,6,445,Sheller/ Others
Shankar Rice mills,2,176,Sheller/ Others
"Shankar rice mills,Sarayenaga road, Harike kalan",2,105,Sheller/ Others
Shanker Agro Ind.,1,100,Sheller/ Others
Shanker Rice mill,2,118,Sheller/ Others
Shanker rice and janral,4,84,Sheller/ Others
Shanker rice mills Chhaju Majra,1,156,Sheller/ Others
Shanti Agro,1,154,Sheller/ Others
Shanti Rice mill,2,203,Sheller/ Others
Shanti Rice mills,2,93,Sheller/ Others
"Sharma Rice mills, tapa",1,40,Sheller/ Others
Sheikhpura,19,678,Sub Yard
Shekhan,15,679,Purchase Centre
Sher Singh Wala,9,569,Purchase Centre
